name_song,freq,artist_key,name_song,url_song,duration
"""Criminal (Full Song) Ra.One"" | ShahRukh Khan | Kareena Kapoor",1,https://www.youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,"""Criminal (Full Song) Ra.One"" | ShahRukh Khan | Kareena Kapoor",https://music.youtube.com/watch?v=VIV3nS7KRok,4.516666666666667
"""Slut!"" (Taylor's Version) (From The Vault)",20,https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,"""Slut!"" (Taylor's Version) (From The Vault)",https://music.youtube.com/watch?v=E1Y3RD3Vt7I,3.0166666666666666
$20,2,https://www.youtube.com/channel/UCxMaQtHvN4Jw5kYfo8Bi5fw,$20,https://music.youtube.com/watch?v=lnwEpdaYPhs,3.35
... Ready For It?,4,https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,... Ready For It?,https://music.youtube.com/watch?v=Qf9SOEkZR9Q,3.4833333333333334
01 BABY DOLL,1,https://www.youtube.com/channel/UCpN8kCE413nZUgiYE70xluA,01 BABY DOLL,https://music.youtube.com/watch?v=-uqZlkSoEZU,3.5666666666666664
"1 step forward, 3 steps back",4,https://www.youtube.com/channel/UCE5XNpliPM-SmyFEp61tL_g,"1 step forward, 3 steps back",https://music.youtube.com/watch?v=jfrZS4-yBuI,2.7333333333333334
100 words,2,https://www.youtube.com/channel/UCO_sphdxl8_K6mfXzzmkDGQ,100 words,https://music.youtube.com/watch?v=i-dms4mcAUE,3.5166666666666666
1000 pieces,1,https://www.youtube.com/channel/UCFSo2Cozzp0TMWcYaDwWcoA,1000 pieces,https://music.youtube.com/watch?v=6aRN2QC-x9Y,3.15
13 Beaches,1,https://www.youtube.com/channel/UCyqq-aiu3vEHuf5NhwmOJcw,13 Beaches,https://music.youtube.com/watch?v=Mcvz8DnuoGI,4.933333333333334
18,4,https://www.youtube.com/channel/UCREhun2tPd7aQnJczZM_Mww,18,https://music.youtube.com/watch?v=7sr_1MNqH2Q,4.15
1812 Overture (Finale),1,https://www.youtube.com/channel/UCnWTamvQM-K-oHEyZpgjvwQ,1812 Overture (Finale),https://music.youtube.com/watch?v=TeNvqAZe9GM,2.783333333333333
19th Hour,1,https://www.youtube.com/channel/UChQY2mIly-pe4p-uwgupTNg,19th Hour,https://music.youtube.com/watch?v=XcUnO0YDQHU,3.5
2002,2,https://www.youtube.com/channel/UCkVBToGZ1PTrMN22TAKyO6Q,2002,https://music.youtube.com/watch?v=ee2mcqcGL_c,3.1166666666666667
21,3,https://www.youtube.com/channel/UCw-0GSqznYHfyfDBBe6a46A,21,https://music.youtube.com/watch?v=ge6hWtFgiHM,3.1
22,2,https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,22,https://music.youtube.com/watch?v=QQXZyf0OJpI,3.8833333333333333
5 Pedas,1,https://www.youtube.com/channel/UC2zoEUvDPsp6qWXJ9f8-_GA,5 Pedas,https://music.youtube.com/watch?v=ZkAzhnGEH2I,3.716666666666667
5 Seconds of Summer - Ghost Of You (Official Audio),4,https://www.youtube.com/channel/UCqD9C6vbwx26km-3p9MxGPw,5 Seconds of Summer - Ghost Of You (Official Audio),https://music.youtube.com/watch?v=Lii5towGul8,3.3
A Change Of Heart,1,https://www.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,A Change Of Heart,https://music.youtube.com/watch?v=pScduAnSxEQ,4.733333333333333
A Love Song,1,https://www.youtube.com/channel/UCQ6DKofMF70A2PVMuMLjgPg,A Love Song,https://music.youtube.com/watch?v=0sIYt89VqJ8,3.3666666666666667
A Rainy Year,3,https://www.youtube.com/channel/UCyCdVcCmnCnJuS8vTZgTf0w,A Rainy Year,https://music.youtube.com/watch?v=ZITlttskpJs,2.0
A Sky Full of Stars,3,https://www.youtube.com/channel/UCIaFw5VBEK8qaW6nRpx_qnw,A Sky Full of Stars,https://music.youtube.com/watch?v=KWuyx6yZ21U,4.466666666666667
A Thousand Years,1,https://www.youtube.com/channel/UCunB7BiOZ7aN6v6TgCp5dRA,A Thousand Years,https://music.youtube.com/watch?v=TA1W-pHNKl8,4.766666666666667
A Troubled Mind,1,https://www.youtube.com/channel/UCwGXlFP4Ba5do7KoxRJYgVQ,A Troubled Mind,https://music.youtube.com/watch?v=WTeQP6ilJi0,3.033333333333333
A.M.,2,https://www.youtube.com/channel/UCREhun2tPd7aQnJczZM_Mww,A.M.,https://music.youtube.com/watch?v=XH-YgBRY3-E,3.5
AAO MILO CHALO,1,https://www.youtube.com/channel/UCqefmgtPwFWMi1V1f-dJ9vQ,AAO MILO CHALO,https://music.youtube.com/watch?v=U0JYkRqU6eY,5.433333333333334
AAOGE JAB TUM,3,https://www.youtube.com/channel/UCStgAZ6AgPChfQMupD8luGQ,AAOGE JAB TUM,https://music.youtube.com/watch?v=JlGdhAuNyUc,5.933333333333334
ADHOORE,21,https://www.youtube.com/channel/UCe223VU7Yb2pRFxMpHUdCvA,ADHOORE,https://music.youtube.com/watch?v=BnYokCSJDfw,4.416666666666667
AFGHAN JALEBI (FILM Version),1,https://www.youtube.com/channel/UCdvN5u5y9LQQ3Zgm1zczmhg,AFGHAN JALEBI (FILM Version),https://music.youtube.com/watch?v=jYVq02Eur_w,3.75
AGAR TUM SAATH HO,2,https://www.youtube.com/channel/UCDxKh1gFWeYsqePvgVzmPoQ,AGAR TUM SAATH HO,https://music.youtube.com/watch?v=FOA9iyxsW_A,5.7
AMBARSARIYA,1,https://www.youtube.com/channel/UCyivqflQvGUS6OR2Ec5cAwg,AMBARSARIYA,https://music.youtube.com/watch?v=fbx6ULRrhXg,4.15
AYE KHUDA,2,https://www.youtube.com/channel/UCIOr01Dc11ba2JgIwuYfN0A,AYE KHUDA,https://music.youtube.com/watch?v=qO4qS1U6gbc,4.683333333333334
Aabaad Barbaad,3,https://www.youtube.com/channel/UCDxKh1gFWeYsqePvgVzmPoQ,Aabaad Barbaad,https://music.youtube.com/watch?v=N0ngg3KnFVs,5.166666666666667
Aaftaab,15,https://www.youtube.com/channel/UCwXvxgmYjgO1PKBCXdufT4Q,Aaftaab,https://music.youtube.com/watch?v=eLLqCT4egfw,3.9
Aahatein,12,https://www.youtube.com/channel/UC1OIizenN4GmGRD8YYUD0Aw,Aahatein,https://music.youtube.com/watch?v=MqEPQGcSeYk,3.6333333333333333
Aaj Kal Zindagi,7,https://www.youtube.com/channel/UCD1yqtH3tB9pstyoJFpHl_w,Aaj Kal Zindagi,https://music.youtube.com/watch?v=DGTlOQLQApw,4.25
Aaj Na,6,https://www.youtube.com/channel/UCLEO1vIrNARN4bvojv8d5gA,Aaj Na,https://music.youtube.com/watch?v=fviMiqTR6Bk,3.2333333333333334
Aankhon Se Batana,11,https://www.youtube.com/channel/UCqi8wo4jjf6xWEHJhHzRs0A,Aankhon Se Batana,https://music.youtube.com/watch?v=K8P4_3NZsKs,3.7
Aao Chalein,3,https://www.youtube.com/channel/UCMQS3w1nGv8HliTTyp3Szkw,Aao Chalein,https://music.youtube.com/watch?v=5uBlLI1a_lA,3.1
Aaoge Tum Kabhi,1,https://www.youtube.com/channel/UCwXvxgmYjgO1PKBCXdufT4Q,Aaoge Tum Kabhi,https://music.youtube.com/watch?v=wuW2IiPqLhI,5.233333333333333
Aas Paas Khuda,1,https://www.youtube.com/channel/UC6GVOwH-1pughw5WYmjAolg,Aas Paas Khuda,https://music.youtube.com/watch?v=yDWOp8ur90Q,5.333333333333333
Aashiyan,1,https://www.youtube.com/channel/UCCTN01plFzn4npREHKT2_9Q,Aashiyan,https://music.youtube.com/watch?v=WxXbLnBq0n0,3.95
Aayat,1,https://www.youtube.com/channel/UCDxKh1gFWeYsqePvgVzmPoQ,Aayat,https://music.youtube.com/watch?v=74nPCMebpYg,4.366666666666666
Aazaadiyan - Pairon Ki Bediyan,1,https://www.youtube.com/channel/UC19pnd-F7tw6vDhkmEiAkgA,Aazaadiyan - Pairon Ki Bediyan,https://music.youtube.com/watch?v=ugm2SOScEqA,5.633333333333333
Ab To Forever,2,https://www.youtube.com/channel/UCeBxx7m7yrwSyvpVpKcMI8w,Ab To Forever,https://music.youtube.com/watch?v=TZ7TVaYoDeA,5.033333333333333
Abhi Abhi,1,https://www.youtube.com/channel/UCeBxx7m7yrwSyvpVpKcMI8w,Abhi Abhi,https://music.youtube.com/watch?v=zg32jRaA8fg,5.716666666666667
Abhi Kuch Dino Se,15,https://www.youtube.com/channel/UCPexK6Vq8vDGf_ldYFFbnIg,Abhi Kuch Dino Se,https://music.youtube.com/watch?v=DEatLVqGuTo,4.766666666666667
About You,16,https://www.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,About You,https://music.youtube.com/watch?v=EdmpLGERRvQ,5.45
"About You (Live from Madison Square Garden, New York, 07.11.22)",1,https://www.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,"About You (Live from Madison Square Garden, New York, 07.11.22)",https://music.youtube.com/watch?v=7ZvbA2UWmNg,5.466666666666667
Above The Chinese Restaurant,1,https://www.youtube.com/channel/UCJtROTPxo3qnEzww8JyDxuA,Above The Chinese Restaurant,https://music.youtube.com/watch?v=yjA_CmtR6Ts,3.7333333333333334
Acid,1,https://www.youtube.com/channel/UCTCaKX_yUM-e4j4E78SMIuw,Acid,https://music.youtube.com/watch?v=aUqF03xCoOo,5.916666666666667
Act My Age,2,https://www.youtube.com/channel/UCREhun2tPd7aQnJczZM_Mww,Act My Age,https://music.youtube.com/watch?v=yn6H_9HLnnA,3.3166666666666664
Ada,1,https://www.youtube.com/channel/UCsC4u-BJAd4OX1hJXtwXSOQ,Ada,https://music.youtube.com/watch?v=N9IGKvBgTO8,4.783333333333333
Admirin' You (Official Video) Karan Aujla | Ikky | Making Memories | Latest Punjabi Songs 2023,1,https://www.youtube.com/channel/UC3XBkDeCVXCoCofFgfUZXGw,Admirin' You (Official Video) Karan Aujla | Ikky | Making Memories | Latest Punjabi Songs 2023,https://music.youtube.com/watch?v=k85UB5b6pJU,3.5166666666666666
Adore You,8,https://www.youtube.com/channel/UCVacQ2t5GUZ2t_J3Ia9BynA,Adore You,https://music.youtube.com/watch?v=vum2bUJwfkI,3.466666666666667
Ae Dil Hai Mushkil Title Track,1,https://www.youtube.com/channel/UCDxKh1gFWeYsqePvgVzmPoQ,Ae Dil Hai Mushkil Title Track,https://music.youtube.com/watch?v=OBTzqobhFjQ,4.5
Afeemi,1,https://www.youtube.com/channel/UClTu6nYJV1vWPDSav5twrUw,Afeemi,https://music.youtube.com/watch?v=8frsQNxGLR0,4.166666666666667
