,source,name_of_video,url_of_video,name_of_channel,url_of_channel,time_stamp,date,month,day,year,hour,minute,second,AM/PM,time_zone
0,YouTube,"Helicopta Collector (feat. Edalam, Willy William)",https://www.youtube.com/watch?v=4mATwHqm52E,Dj KikFat - Topic,https://www.youtube.com/channel/UCv3SibLKcMdV0iojPdJzV1A,Dec 30 2023 12:10:31 AM EST,30 Dec 2023,Dec,30,2023,12,10,31,AM,EST
1,YouTube,Rayshader 101 - Creating 2D and 3D visualizations in R,https://www.youtube.com/watch?v=7UHCfWN96d0,Jahnavi Mulchandani,https://www.youtube.com/channel/UC0Fvrc1dQ3777NwF8_U33lQ,Oct 30 2023 9:49:31 PM EST,30 Oct 2023,Oct,30,2023,9,49,31,PM,EST
2,YouTube,EVERY Christmas Episode From Friends,https://www.youtube.com/watch?v=CrPux1CO-5w,Still Watching Netflix,https://www.youtube.com/channel/UCGie8GMlUo3kBKIopdvumVQ,Oct 8 2023 8:20:17 PM EST,8 Oct 2023,Oct,8,2023,8,20,17,PM,EST
3,YouTube,Teen kahaniya | Zakir Khan | London | Royal Albert Hall,https://www.youtube.com/watch?v=2u8L9KX483I,Zakir Khan,https://www.youtube.com/channel/UCkS7Vxu4PjM99w0Is6idjcg,Oct 8 2023 8:19:38 PM EST,8 Oct 2023,Oct,8,2023,8,19,38,PM,EST
4,YouTube,FANFEST 2023 VLOG | MostlySane,https://www.youtube.com/watch?v=Q06Tf9DeNn4,MostlySane,https://www.youtube.com/channel/UCvCyIiKSCA1fHKSCOKJyjXA,Oct 5 2023 2:12:51 PM EST,5 Oct 2023,Oct,5,2023,2,12,51,PM,EST
5,YouTube,Coke Studio Season 10| Muntazir| Danyal Zafar & Momina Mustehsan,https://www.youtube.com/watch?v=cs9ORHI8o38,Coke Studio Pakistan,https://www.youtube.com/channel/UCM1VesJtJ9vTXcMLLr_FfdQ,Sep 24 2023 2:50:51 PM EST,24 Sep 2023,Sep,24,2023,2,50,51,PM,EST
6,YouTube,Love Story - Taylor Swift (The Bear season 2),https://www.youtube.com/watch?v=HweVkp-dCsE,TinchO!,https://www.youtube.com/channel/UCB1-GbAlVl7vLVXO-dGc6lw,Sep 23 2023 11:48:53 PM EST,23 Sep 2023,Sep,23,2023,11,48,53,PM,EST
7,YouTube,"My NYC Apartment Tour: $3,100/Month Penthouse in Manhattan",https://www.youtube.com/watch?v=X6UScc5k_3g,Taylor Bell,https://www.youtube.com/channel/UCP0f9FXZ4g-MxAqSUreHpCw,Sep 23 2023 12:09:24 AM EST,23 Sep 2023,Sep,23,2023,12,9,24,AM,EST
8,YouTube,name_vid,url_vid,name_chan,url_chan,Sep 23 2023 12:09:18 AM EST,23 Sep 2023,Sep,23,2023,12,9,18,AM,EST
9,YouTube,SURPRISED HIM WITH A NEW CAR! - VLOG 123,https://www.youtube.com/watch?v=olQrehXegro,Tanmay Bhat,https://www.youtube.com/channel/UC0rE2qq81of4fojo-KhO5rg,Sep 13 2023 10:30:47 PM EST,13 Sep 2023,Sep,13,2023,10,30,47,PM,EST
10,YouTube,Modern Family | The Most Dad-Tastic Moments,https://www.youtube.com/watch?v=vOYYjokyJ8s,Peacock,https://www.youtube.com/channel/UCPgMAS8woHJ_o_OZdTR7kcQ,Sep 11 2023 3:51:45 PM EST,11 Sep 2023,Sep,11,2023,3,51,45,PM,EST
11,YouTube,INDIA'S SMARTEST TEACHER,https://www.youtube.com/watch?v=JCGZSK-voUw,Tanmay Bhat,https://www.youtube.com/channel/UC0rE2qq81of4fojo-KhO5rg,Sep 11 2023 3:36:22 PM EST,11 Sep 2023,Sep,11,2023,3,36,22,PM,EST
12,YouTube,random modern family scenes. no context at all,https://www.youtube.com/watch?v=DrbtzisnH7A,What A Mess,https://www.youtube.com/channel/UCXON8CqW6r2RkDnwjLXg8Uw,Sep 11 2023 3:31:07 PM EST,11 Sep 2023,Sep,11,2023,3,31,7,PM,EST
13,YouTube,INDIA'S WEIRDEST FOOD Pt 3,https://www.youtube.com/watch?v=NdAt06vqE-Y,Tanmay Bhat,https://www.youtube.com/channel/UC0rE2qq81of4fojo-KhO5rg,Sep 9 2023 7:33:03 PM EST,9 Sep 2023,Sep,9,2023,7,33,3,PM,EST
