,source,name_of_video,url_of_video,name_of_channel,url_of_channel,time_stamp,date,month,day,year,hour,minute,second,AM/PM,time_zone
0,YouTube,"Helicopta Collector (feat. Edalam, Willy William)",https://www.youtube.com/watch?v=4mATwHqm52E,Dj KikFat - Topic,https://www.youtube.com/channel/UCv3SibLKcMdV0iojPdJzV1A,Dec 30 2023 12:10:31 AM EST,30 Dec 2023,Dec,30,2023,12,10,31,AM,EST
1,YouTube Music,What Do I Know?,https://music.youtube.com/watch?v=VDc9zSpu4Es,Ed Sheeran - Topic,https://www.youtube.com/channel/UClmXPfaYhXOYsNn_QUyheWQ,Dec 1 2023 12:50:37 AM EST,1 Dec 2023,Dec,1,2023,12,50,37,AM,EST
2,YouTube,Rayshader 101 - Creating 2D and 3D visualizations in R,https://www.youtube.com/watch?v=7UHCfWN96d0,Jahnavi Mulchandani,https://www.youtube.com/channel/UC0Fvrc1dQ3777NwF8_U33lQ,Oct 30 2023 9:49:31 PM EST,30 Oct 2023,Oct,30,2023,9,49,31,PM,EST
3,YouTube,EVERY Christmas Episode From Friends,https://www.youtube.com/watch?v=CrPux1CO-5w,Still Watching Netflix,https://www.youtube.com/channel/UCGie8GMlUo3kBKIopdvumVQ,Oct 8 2023 8:20:17 PM EST,8 Oct 2023,Oct,8,2023,8,20,17,PM,EST
4,YouTube,Teen kahaniya | Zakir Khan | London | Royal Albert Hall,https://www.youtube.com/watch?v=2u8L9KX483I,Zakir Khan,https://www.youtube.com/channel/UCkS7Vxu4PjM99w0Is6idjcg,Oct 8 2023 8:19:38 PM EST,8 Oct 2023,Oct,8,2023,8,19,38,PM,EST
5,YouTube,FANFEST 2023 VLOG | MostlySane,https://www.youtube.com/watch?v=Q06Tf9DeNn4,MostlySane,https://www.youtube.com/channel/UCvCyIiKSCA1fHKSCOKJyjXA,Oct 5 2023 2:12:51 PM EST,5 Oct 2023,Oct,5,2023,2,12,51,PM,EST
6,YouTube Music,The Night We Met,https://music.youtube.com/watch?v=nG0HrAVIw_c,Lord Huron - Topic,https://www.youtube.com/channel/UCHIqmk90GKurdVSG5cf-sFQ,Oct 2 2023 4:30:59 PM EST,2 Oct 2023,Oct,2,2023,4,30,59,PM,EST
7,YouTube Music,Someday,https://music.youtube.com/watch?v=eRPF_MR6o4g,OneRepublic - Topic,https://www.youtube.com/channel/UCrrbm1toLPud8fFIisPuxpg,Oct 2 2023 4:27:51 PM EST,2 Oct 2023,Oct,2,2023,4,27,51,PM,EST
8,YouTube Music,Little Things,https://music.youtube.com/watch?v=nVuhPizu-YY,One Direction - Topic,https://www.youtube.com/channel/UCREhun2tPd7aQnJczZM_Mww,Oct 2 2023 4:23:55 PM EST,2 Oct 2023,Oct,2,2023,4,23,55,PM,EST
9,YouTube Music,Love Like That,https://music.youtube.com/watch?v=GtxkenZnv4A,Phillip Phillips - Topic,https://www.youtube.com/channel/UCaQZn0FaMLJrImJIJqw3zvQ,Oct 2 2023 4:20:33 PM EST,2 Oct 2023,Oct,2,2023,4,20,33,PM,EST
10,YouTube Music,Photograph,https://music.youtube.com/watch?v=SlbfAYvA_gI,Ed Sheeran - Topic,https://www.youtube.com/channel/UClmXPfaYhXOYsNn_QUyheWQ,Oct 2 2023 4:16:14 PM EST,2 Oct 2023,Oct,2,2023,4,16,14,PM,EST
11,YouTube Music,This Town,https://music.youtube.com/watch?v=_YJph-7IzXI,Niall Horan - Topic,https://www.youtube.com/channel/UCxm9sS8Dd2aRthr_O3rVLJQ,Oct 2 2023 4:11:50 PM EST,2 Oct 2023,Oct,2,2023,4,11,50,PM,EST
12,YouTube Music,Naked,https://music.youtube.com/watch?v=-BqpUIwGvr8,James Arthur - Topic,https://www.youtube.com/channel/UCNAbUat5xDtp6FeBphe2V_Q,Oct 2 2023 4:07:56 PM EST,2 Oct 2023,Oct,2,2023,4,7,56,PM,EST
13,YouTube Music,Love Yourself,https://music.youtube.com/watch?v=p-IXgwqhfmg,Justin Bieber - Topic,https://www.youtube.com/channel/UCGvj8kfUV5Q6lzECIrGY19g,Oct 2 2023 4:04:01 PM EST,2 Oct 2023,Oct,2,2023,4,4,1,PM,EST
14,YouTube Music,Sunday Morning,https://music.youtube.com/watch?v=U9-f4Mosb_A,Maroon 5 - Topic,https://www.youtube.com/channel/UCdFe4KkWwZ_twpo-UECR-Nw,Oct 2 2023 3:59:49 PM EST,2 Oct 2023,Oct,2,2023,3,59,49,PM,EST
15,YouTube Music,Moving On,https://music.youtube.com/watch?v=UZNceoFaPfU,Kodaline - Topic,https://www.youtube.com/channel/UC0cymQddFci7e31o7EIznYw,Oct 2 2023 3:55:23 PM EST,2 Oct 2023,Oct,2,2023,3,55,23,PM,EST
